Round,BCA Energy (J),BCA Alive,LEACH Energy (J),LEACH Alive,DEEC Energy (J),DEEC Alive,SEP Energy (J),SEP Alive
1191,22.293148,96,0.376562,3,0.000000,0,0.260916,4
1192,22.267387,96,0.374660,3,0.000000,0,0.258999,4
1193,22.241626,96,0.372757,3,0.000000,0,0.256498,4
1194,22.215865,96,0.371307,3,0.000000,0,0.254580,4
1195,22.190104,96,0.369307,3,0.000000,0,0.252801,4
1196,22.164344,96,0.367404,3,0.000000,0,0.250883,4
1197,22.138583,96,0.365502,3,0.000000,0,0.248375,4
1198,22.112822,96,0.363502,3,0.000000,0,0.247027,4
1199,22.087061,96,0.362621,3,0.000000,0,0.245247,4
1200,22.061301,96,0.361170,3,0.000000,0,0.243329,4
1201,22.035540,96,0.359720,3,0.000000,0,0.241412,4
1202,22.009779,96,0.357720,3,0.000000,0,0.239494,4
1203,21.984018,96,0.355817,3,0.000000,0,0.237714,4
1204,21.958257,96,0.354367,3,0.000000,0,0.235935,4
1205,21.932497,96,0.352917,3,0.000000,0,0.233427,4
1206,21.906736,96,0.351466,3,0.000000,0,0.231509,4
1207,21.880975,96,0.349564,3,0.000000,0,0.229592,4
1208,21.855214,96,0.348113,3,0.000000,0,0.227091,4
1209,21.829454,96,0.346113,3,0.000000,0,0.226003,4
1210,21.803693,96,0.344113,3,0.000000,0,0.224086,4
1211,21.777932,96,0.342114,3,0.000000,0,0.221958,3
1212,21.752171,96,0.340114,3,0.000000,0,0.220783,3
1213,21.726410,96,0.338114,3,0.000000,0,0.219321,3
1214,21.700650,96,0.336211,3,0.000000,0,0.218487,2
1215,21.674889,96,0.334211,3,0.000000,0,0.217563,2
1216,21.649128,96,0.332212,3,0.000000,0,0.216639,2
1217,21.623367,96,0.330761,3,0.000000,0,0.215714,2
1218,21.597606,96,0.329311,3,0.000000,0,0.214790,2
1219,21.571846,96,0.328429,3,0.000000,0,0.213829,2
1220,21.546085,96,0.326979,3,0.000000,0,0.213285,2
1221,21.520324,96,0.325076,3,0.000000,0,0.212324,2
1222,21.494563,96,0.323077,3,0.000000,0,0.211362,2
1223,21.468803,96,0.321174,3,0.000000,0,0.210438,2
1224,21.443042,96,0.319271,3,0.000000,0,0.209514,2
1225,21.417281,96,0.317821,3,0.000000,0,0.208552,2
1226,21.391520,96,0.315821,3,0.000000,0,0.207628,2
1227,21.365759,96,0.313919,3,0.000000,0,0.206666,2
1228,21.339999,96,0.312468,3,0.000000,0,0.205742,2
1229,21.314238,96,0.310468,3,0.000000,0,0.204780,2
1230,21.288477,96,0.308468,3,0.000000,0,0.203856,2
1231,21.262716,96,0.306566,3,0.000000,0,0.203313,2
1232,21.236956,96,0.305115,3,0.000000,0,0.202351,2
1233,21.211195,96,0.303213,3,0.000000,0,0.201389,2
1234,21.185434,96,0.301213,3,0.000000,0,0.200465,2
1235,21.159673,96,0.299213,3,0.000000,0,0.199541,2
1236,21.133912,96,0.297311,3,0.000000,0,0.198617,2
1237,21.108152,96,0.295408,3,0.000000,0,0.197693,2
1238,21.082391,96,0.293505,3,0.000000,0,0.196731,2
1239,21.056630,96,0.292624,3,0.000000,0,0.195769,2
1240,21.030869,96,0.291174,3,0.000000,0,0.194845,2
1241,21.005108,96,0.289271,3,0.000000,0,0.193883,2
1242,20.979348,96,0.287821,3,0.000000,0,0.193340,2
1243,20.953587,96,0.286370,3,0.000000,0,0.192378,2
